UPS,Sku,Qty,Price,Markup Percentage,MAP,Domestic Shipping,Markup Price,Retail Price,Category
,"mrs-AE22LG",0,,,,,,,Discontinued
,"mrs-AE23",0,,,,,,,Discontinued
,"mrs-AE299",0,,,,,,,Discontinued
,"mrs-AE6075B",0,,,,,,,Discontinued
,"mrs-AF000TS",0,,,,,,,Discontinued
,"mrs-AF003TS",0,,,,,,,Discontinued
,"mrs-AF005TS",0,,,,,,,Discontinued
,"mrs-AF007TS",0,,,,,,,Discontinued
,"mrs-AF010T",0,,,,,,,Discontinued
,"mrs-AF011T",0,,,,,,,Discontinued
,"mrs-AF014TS",0,,,,,,,Discontinued
,"mrs-AF112MD",0,,,,,,,Discontinued
,"mrs-AF139",0,,,,,,,Discontinued
,"mrs-AF13MD",0,,,,,,,Discontinued
,"mrs-AF140SM",0,,,,,,,Discontinued
,"mrs-AF142LG",0,,,,,,,Discontinued
,"mrs-AF142SM",0,,,,,,,Discontinued
,"mrs-AF16MD",0,,,,,,,Discontinued
,"mrs-AF179SM",0,,,,,,,Discontinued
,"mrs-AF180MD",0,,,,,,,Discontinued
,"mrs-AF186LG",0,,,,,,,Discontinued
,"mrs-AF188MD",0,,,,,,,Discontinued
,"mrs-AF190LG",0,,,,,,,Discontinued
,"mrs-AF191LG",0,,,,,,,Discontinued
,"mrs-AF194LG",0,,,,,,,Discontinued
,"mrs-AF195LG",0,,,,,,,Discontinued
,"mrs-AF22SM",0,,,,,,,Discontinued
,"mrs-AF39MD",0,,,,,,,Discontinued
,"mrs-AF401MD",0,,,,,,,Discontinued
,"mrs-AF40LG",0,,,,,,,Discontinued
,"mrs-AF40SM",0,,,,,,,Discontinued
,"mrs-AF45MD",0,,,,,,,Discontinued
,"mrs-AF53MD",0,,,,,,,Discontinued
,"mrs-AF84PK",0,,,,,,,Discontinued
,"mrs-AF85MD",0,,,,,,,Discontinued
,"mrs-AF86MD",0,,,,,,,Discontinued
,"mrs-AF92LG",0,,,,,,,Discontinued
,"mrs-AF94MD",0,,,,,,,Discontinued
,"mrs-AG01",0,,,,,,,Discontinued
,"mrs-AG3708",0,,,,,,,Discontinued
,"mrs-AG3714",0,,,,,,,Discontinued
,"mrs-AG3720",0,,,,,,,Discontinued
,"mrs-AG41",0,,,,,,,Discontinued
,"mrs-ALA15161",0,,,,,,,Discontinued
,"mrs-ALA31992",0,,,,,,,Discontinued
,"mrs-ALFK1133",0,,,,,,,Discontinued
,"mrs-ALFK420",0,,,,,,,Discontinued
,"mrs-ALG11529",0,,,,,,,Discontinued
,"mrs-ALG11978",0,,,,,,,Discontinued
,"mrs-ALH15100F",0,,,,,,,Discontinued
,"mrs-ALH15187",0,,,,,,,Discontinued
,"mrs-ALH15223",0,,,,,,,Discontinued
,"mrs-ALH15234",0,,,,,,,Discontinued
,"mrs-ALH15350",0,,,,,,,Discontinued
,"mrs-ALHC2647",0,,,,,,,Discontinued
,"mrs-ALHD1800",0,,,,,,,Discontinued
,"mrs-ALHE2280",0,,,,,,,Discontinued
,"mrs-ALHE2287",0,,,,,,,Discontinued
,"mrs-ALHE2483",0,,,,,,,Discontinued
,"mrs-ALHF2038",0,,,,,,,Discontinued
,"mrs-ALHF2475",0,,,,,,,Discontinued
,"mrs-ALHF2477",0,,,,,,,Discontinued
,"mrs-ALHG2477",0,,,,,,,Discontinued
,"mrs-ALHG2583",0,,,,,,,Discontinued
,"mrs-ALHJ1935",0,,,,,,,Discontinued
,"mrs-ALHJ2339",0,,,,,,,Discontinued
,"mrs-ALHJ2346",0,,,,,,,Discontinued
,"mrs-ALHJ2558",0,,,,,,,Discontinued
,"mrs-ALHN2093",0,,,,,,,Discontinued
,"mrs-ALHN2098",0,,,,,,,Discontinued
,"mrs-ALHP2063",0,,,,,,,Discontinued
